时间,压力(N),传感器#8,传感器#9,传感器#10,传感器#24,传感器#25,传感器#26,传感器#232,传感器#233,传感器#234,传感器#248,传感器#249,传感器#250
08h.46m.17s.994ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.004ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.014ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.024ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.034ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.045ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.054ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.065ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.075ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.084ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.094ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.105ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.115ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.124ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.135ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.145ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.154ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.164ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.174ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.184ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.194ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.204ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.214ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.224ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.234ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.244ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.255ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.265ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.274ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.285ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.294ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.304ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.315ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.325ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.335ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.345ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.355ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.365ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.374ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.385ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.394ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.405ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.414ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.425ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.435ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.444ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.455ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.465ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.474ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.485ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.494ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.505ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.516ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.524ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.535ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.544ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.554ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.564ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.575ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.585ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.595ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.605ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.615ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.624ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.634ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.645ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.654ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.665ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.674ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.685ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.694ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.704ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.714ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.724ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.734ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.744ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.755ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.764ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.776ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.785ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.794ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.804ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.814ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.825ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.834ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.844ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.854ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.864ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.874ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.884ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.895ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.904ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.915ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.924ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.934ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.944ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.955ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.964ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.975ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.985ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.18s.994ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.004ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.014ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.024ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.034ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.044ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.054ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.064ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.074ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.084ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.096ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.105ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.115ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.124ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.135ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.144ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.155ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.164ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.174ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.185ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.195ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.204ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.215ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.224ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.234ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.244ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.254ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.264ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.274ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.284ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.295ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.304ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.315ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.324ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.334ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.345ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.354ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.366ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.374ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.385ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.394ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.405ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.415ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.425ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.434ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.445ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.455ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.464ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.475ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.485ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.494ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.504ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.514ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.525ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.535ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.544ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.554ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.564ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.574ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.584ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.594ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.19s.606ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
